Sr.NO,Name ,Inwards Qty,Outwards Qty,Net Movement,Stock Turnover Rate
68,DENIM/ECO-Z-HINGES-4X3/4-SS-BRASS,0.0,2.0,-2.0,1999999999.9999998
69,DENIM-L-HINGES-3X1/2X12MM-STEEL,0.0,16.0,-16.0,15999999999.999998
70,DENIM-L-HINGES-3X1/2X19MM-STEEL,0.0,14.0,-14.0,14000000000.0
71,DENIM-L-HINGES-3X1/2X6MM-STEEL,0.0,4.0,-4.0,3999999999.9999995
72,DENIM-OVERLAY DUG HINGES-3X19X25 HALF,0.0,2.0,-2.0,1999999999.9999998
73,DENIM-OVERLAY DUG HINGES-4X19X25 HALF,0.0,6.0,-6.0,6000000000.0
74,DENIM-OVERLAY DUG HINGES-4X25X25 FULL,0.0,3.0,-3.0,3000000000.0
75,ECO-W-HINGES-SQ.-1.1/2X1/2X12MM-SS-BRASS,0.0,6.0,-6.0,6000000000.0
76,ECO-W-HINGES-SQ.-2X1/2X12MM-SS-BRASS,0.0,3.0,-3.0,3000000000.0
77,FASCO GOLD-CONCILD HINGES-4X10-CP-STEEL,0.0,29.0,-29.0,29000000000.0
78,GODREJ SOFT CLOSE AUTO  HINGES OVERLAY - HALF,90.0,61.0,29.0,0.6777777777702468
79,GREEN-BUTT HINGES-4X3/4X1-SS-BRASS,0.0,1.0,-1.0,999999999.9999999
80,GUL.-L-HINGES-4X3/8X12MM-SS-BRASS-PR.,0.0,6.0,-6.0,6000000000.0
81,GUL.-L-HINGES-4X3/8X6MM-SS-BRASS-PR.,0.0,7.0,-7.0,7000000000.0
82,GUL.-RLY.SMU.HINGES-4X1.1/4X3/16-SS-BRASS,0.0,2.0,-2.0,1999999999.9999998
83,KADAM-BUTT HINGES-3X1/2X3/4-STEEL,0.0,7.0,-7.0,7000000000.0
84,KADAM-BUTT HINGES-4X1/2X3/4-STEEL-CP,0.0,8.0,-8.0,7999999999.999999
85,KADAM DOOR HINGES 5X12 STEEL,8.0,16.0,-8.0,1.99999999975
86,KEN SS HINGES  4 X12,152.0,139.0,13.0,0.9144736842045101
87,KEN SS HINGES 5X12,20.0,0.0,20.0,0.0
88,KUBERGOLD-W-HINGES-4X38X19-BRASS,0.0,-4.0,4.0,-3999999999.9999995
89,KUBER-W-HINGES-4X3/8X12MM BRASS,0.0,-1.0,1.0,-999999999.9999999
90,MAQUEEN-L-HINGES-4X3/8X12MM-SS-BRASS-PR.,0.0,2.0,-2.0,1999999999.9999998
91,Maruti Duck Hinges 4x25x25 Full,2.0,0.0,2.0,0.0
92,MARUTI DUG HINGES 4X19X19 HALF OVERLAY,90.0,42.0,48.0,0.4666666666614815
93,MARUTI DUG HINGES - 4X19X25 FULL,30.0,34.0,-4.0,1.1333333332955555
94,MARUTI DUG HINGES 4X19X25 HALF OVERLAY,22.0,17.0,5.0,0.7727272726921488
95,MARUTI - DUG HINGES - 4X25X19-FULL OVERLAY,132.0,175.0,-43.0,1.3257575757475322
96,MARUTI DUG HINGES - 4X25X19 HALF OVER,66.0,68.0,-2.0,1.0303030302874197
97,MARUTI-L+W-PR.-HINGES-4x1/2x12MM-SS-BRASS,0.0,40.0,-40.0,40000000000.0
98,MARUTI-L+W-PR.-HINGES-4x1/2x19MM-SS-BRASS,12.0,25.0,-13.0,2.083333333159722
99,MARUTI-L+W-PR.-HINGES-4x1/2x6MM-SS-BRASS,48.0,28.0,20.0,0.5833333333211806
100,MARUTI-L+W-PR.-HINGES-4x3/4x12MM-SS-BRASS,24.0,24.0,0.0,0.9999999999583333
101,MARUTI-L+W-PR.-HINGES-4x3/4x19MM-SS-BRASS,36.0,24.0,12.0,0.6666666666481482
102,MARUTI-L+W-PR.-HINGES-4x3/4x6MM-SS-BRASS,48.0,42.0,6.0,0.8749999999817709
103,Maruti Overlay Dug Hinges 3x19x19 Full,12.0,38.0,-26.0,3.1666666664027776
104,MARUTI OVERLAY DUG HINGES 3X19X19 HALF OVERLAY BR,12.0,20.0,-8.0,1.6666666665277778
105,Maruti Overlay Dug Hinges 4x19x19 Full,276.0,160.0,116.0,0.5797101449254358
106,MARUTI-PR. RAILWAY HINGES-5X1.1/2X3/16-SS-BRASS,24.0,16.0,8.0,0.6666666666388888
107,MARUTI-PR.RAILWAY HINGES-5X1.1/4X5/32-SS-BRASS,159.0,184.0,-25.0,1.1572327043952375
108,MARUTI-PR.RLY.HINGES-5X1.1/2X5/32-BRASS,25.0,41.0,-16.0,1.6399999999344
109,MILL.-CONCILD DOOR HINGES-5X1.1/2X3/16-STEEL,0.0,2.0,-2.0,1999999999.9999998
110,MILL.-CONCILD-DOOR HINGES-PIN-5X3X3-STEEL,0.0,2.0,-2.0,1999999999.9999998
111,MILL.-L-HINGES-3X3/4X19MM (75X19X19)-STEEL,0.0,2.0,-2.0,1999999999.9999998
112,MILL.-L-HINGES-3X3/4X6MM (75X19X19)-STEEL,0.0,7.0,-7.0,7000000000.0
113,SHANTI-CUFY-AUTO HINGES-SOFT CLOSE-FULL OVERLAY,0.0,5.0,-5.0,5000000000.0
114,SKS PRIME HINGES 5X10X1/1.4,86.0,129.0,-43.0,1.4999999999825582
115,SPAN DOOR CONC. HINGES SS PR. 4X12,0.0,8.0,-8.0,7999999999.999999
116,STAR-BUTT HINGES-3X3/4X3/4-SS-BRASS,0.0,1.0,-1.0,999999999.9999999
117,STAR-BUTT HINGES-4X3/8X5/8-SS-BRASS,0.0,2.0,-2.0,1999999999.9999998
118,STAR-PR.RLY.HINGES-6X1.1/4X3/16-SS-BRASS,0.0,1.0,-1.0,999999999.9999999
119,SUNSHINE AUTO HINGES FULL,65.0,74.0,-9.0,1.1384615384440235
120,SUNSHINE AUTO HINGES HALF OVERLAY,0.0,23.0,-23.0,23000000000.0
121,KNOB,0.0,3.0,-3.0,3000000000.0
122,KNOB-KN 1010 CHEX,0.0,3.0,-3.0,3000000000.0
123,L-BUTTON/SHELF BUTTON,1746.0,1471.0,275.0,0.8424971363110868
124,ROTOMAX - SHELF BUTTON - SS - D. SCREW,1446.0,1463.0,-17.0,1.0117565698471565
125,SHANTI-L-BAT-S.SCREW-HEAVY-SS,300.0,8.0,292.0,0.026666666666577778
126,L-PATTI,0.0,310.0,-310.0,310000000000.0
127,L-PATTI-1X1-SS,0.0,310.0,-310.0,310000000000.0
128,MAGNET,350.0,293.0,57.0,0.8371428571404653
129,"BELL-DOOR HOLDER MAGNET-SS-3""",0.0,3.0,-3.0,3000000000.0
130,"BLANDOX - MAGNET DOOR STOPPER - MATT - 4""",0.0,2.0,-2.0,1999999999.9999998
131,ECO-PUSH MAGNET STOPPER-FIX-SS,0.0,2.0,-2.0,1999999999.9999998
132,HYLIS-PUSH MAGNET CATCH-PVC,0.0,8.0,-8.0,7999999999.999999
133,SHANTI- MAGNET NO. 7- BROWN & IVORY,0.0,60.0,-60.0,60000000000.0
134,SHREEJI-MAGNET NO.3-PVC,350.0,218.0,132.0,0.6228571428553633
135,MIRROR CAP / DUBBI,0.0,36.0,-36.0,36000000000.0
136,"MIRROR CAP-CRYSTAL-(25mm) -1""",0.0,6.0,-6.0,6000000000.0
137,SWISS-MIRROR DUBBI-PLAIN-6MM FULL-BRASS,0.0,30.0,-30.0,30000000000.0
138,NAILS,735.1,621.15,113.95000000000005,0.8449870765870697
139,NAILS - 12X2,51.1,52.65,-1.5499999999999972,1.0303326809974496
140,NAILS - 14x1,0.5,2.0,-1.5,3.9999999920000002
141,NAILS - 14x1.1/2,112.5,81.75,30.75,0.7266666666602074
142,NAILS - 14x1.1/4,200.0,172.2,27.80000000000001,0.860999999995695
143,NAILS - 14x1.3/4,70.0,55.7,14.299999999999997,0.7957142857029184
144,NAILS - 14x2,97.5,82.25,15.25,0.8435897435810914
145,NAILS - 17X1.1/4,22.0,19.35,2.6499999999999986,0.8795454545054753
146,NAILS - 17x1 HL,117.5,87.15,30.349999999999994,0.7417021276532622
147,NAILS - 17x3/4,1.5,5.93,-4.43,3.9533333306977774
148,NAILS - 19X1,47.5,33.82,13.68,0.7119999999850106
149,NAILS - 19X3/4,15.0,28.35,-13.350000000000001,1.889999999874
150,NUT BOLT,320.0,474.0,-154.0,1.4812499999953712
151,BED FITTING NUT BOLT,20.0,16.0,4.0,0.79999999996
152,CAPRI-CARRIAGE BOLT-6X50,300.0,398.0,-98.0,1.3266666666622444
153,"LION-ROOFING BOLT-2""-MS-6X50",0.0,60.0,-60.0,60000000000.0
154,HUNGER PIPE SS 1'' HEVY,0.0,91.6,-91.6,91599999999.99998
155,PIPE-OVAL-CP,0.0,4.0,-4.0,3999999999.9999995
156,"PIPE -SS- 3/4""",0.0,8.0,-8.0,7999999999.999999
157,RAWAL PLUG,160.0,181.0,-21.0,1.1312499999929297
158,NARAYANI WALL PLUG 25 MM,50.0,67.0,-17.0,1.3399999999732002
159,NARAYANI WALL PLUG 32 MM,110.0,114.0,-4.0,1.0363636363542148
160,SCREW,160499.0,277595.0,-117096.0,1.7295746390943139
161,DOLPHINE -M/C.SCREW-3/16X0.75 WW,0.0,15.0,-15.0,15000000000.0
162,DOLPHINE -M/C.SCREW-3/16X22-WW,0.0,10.0,-10.0,10000000000.0
163,DOLPHINE-M/C SCREW-5/32X1.25 WW,0.0,280.0,-280.0,280000000000.0
164,DOLPHINE -M/C.SCREW-5/32X22 WW,0.0,100.0,-100.0,100000000000.0
165,DOLPHIN-M/C.-SCREW-M4X2.0-WW,0.0,225.0,-225.0,225000000000.0
166,DOPHIN-M/C-SCREW-M4X22-WW,0.0,35.0,-35.0,35000000000.0
167,DRYWALL BLACK SCREW 32 X 6,2500.0,500.0,2000.0,0.19999999999992
168,DRYWALL GYPSUM SCREW-6X38,2000.0,9140.0,-7140.0,4.569999999997715
169,DRYWALL GYPSUM SCREW 8X75,1000.0,0.0,1000.0,0.0
170,Ebco-3525-Screw-6x25-Phillips+,0.0,800.0,-800.0,800000000000.0
171,Ebco-Screw Ss-6x20-Csk+PHILLIPS,0.0,1000.0,-1000.0,999999999999.9999
172,"HANDLE SCREW-FLAT HEAD-1""",0.0,134.0,-134.0,133999999999.99998
173,"KING-HANDLE SCREW-M4X19-3/4""",0.0,25.0,-25.0,25000000000.0
174,"MAYUR-FRIENDSHIP-MIRROR SCREW-1""",0.0,156.0,-156.0,156000000000.0
