Sr.NO,Name ,Inwards Qty,Outwards Qty,Net Movement,Stock Turnover Rate
292,FALCOFIX GOLD WR 10KG,9.0,11.0,-2.0,1.2222222220864198
293,FALCOFIX GOLD WR {1KG},0.0,0.0,0.0,0.0
294,FALCOFIX GOLD WR {20KG},6.0,6.0,0.0,0.9999999998333333
295,FALCOFIX GOLD WR {5KG},4.0,5.0,-1.0,1.2499999996875
296,FALCOFIX WR {10KG},55.0,51.0,4.0,0.9272727272558678
297,FALCOFIX WR (20KG),57.0,48.0,9.0,0.8421052631431211
298,FALCOFIX WR {2KG},0.0,3.0,-3.0,3000000000.0
299,FALCOFIX WR {50KG},20.0,16.0,4.0,0.79999999996
300,FALCOFIX WR {5KG},41.0,40.0,1.0,0.9756097560737657
301,FALCOFIX WR {60KG},22.0,21.0,1.0,0.9545454545020661
302,FEVICOL EZEESPRAY(353gm),60.0,42.0,18.0,0.6999999999883334
303,FEVICOL HEATX {1 LIT},130.0,128.0,2.0,0.9846153846078107
304,FEVICOL HEATX { 500ML},70.0,62.0,8.0,0.8857142857016326
305,FEVICOL HI-PER {1KG},0.0,3.0,-3.0,3000000000.0
306,FEVICOL MARINEKOAT {1LIT},0.0,10.0,-10.0,10000000000.0
307,Fevicol Nail Free Ultra,0.0,4.0,-4.0,3999999999.9999995
308,FEVICOL PROBOND {1KG},0.0,19.0,-19.0,19000000000.0
309,FEVICOL SH {250 GM},0.0,5.0,-5.0,5000000000.0
310,FEVICOL WUDFILL 20 GM,0.0,10.0,-10.0,10000000000.0
311,FEVIKWIK 203 {20gm},44.0,101.0,-57.0,2.295454545402376
312,MXBON 104-20GM CYANOACRYLATE ADH.,0.0,22.0,-22.0,22000000000.0
313,MXBON 104 CYANOACRY ADHESIVE 20 GM,50.0,76.0,-26.0,1.5199999999696001
314,TERMINATOR - WOOD PRESERVATIVE-CLEAR- 320 Ml -SPRAY,0.0,1.0,-1.0,999999999.9999999
315,TIKAWOOD-FASTTIK- 1KG,25.0,20.0,5.0,0.799999999968
316,VETRA LV-401 ASTRAL {20gm},50.0,45.0,5.0,0.8999999999820001
317,BTC-1.5X6,6216.0,17074.6,-10858.599999999999,2.7468790218785797
318,BTC-1X10,0.0,164.6,-164.6,164599999999.99997
319,BTC-1X6,11848.5,22459.6,-10611.099999999999,1.8955648394309914
320,BTC-2.5X10,0.0,538.0,-538.0,537999999999.99994
321,BTC-2X10,0.0,1346.0,-1346.0,1346000000000.0
322,BTC-2X6,8367.0,9892.5,-1525.5,1.182323413409683
323,BTC-3X10,0.0,200.0,-200.0,200000000000.0
324,CP-1.5X10,0.0,80.0,-80.0,80000000000.0
325,CP 1.5X6,0.0,5000.0,-5000.0,5000000000000.0
326,CP-1X10,0.0,10000.0,-10000.0,10000000000000.0
327,CP-1X6,0.0,1500.0,-1500.0,1500000000000.0
328,CP 2X6,0.0,256.0,-256.0,255999999999.99997
329,BR-CLOTH HANGER-ASK-01-6 HOOK-CP,1.0,0.0,1.0,0.0
330,BR-CLOTH HANGER-ASK-01-8 HOOK,0.0,0.0,0.0,0.0
331,BR-CLOTH HANGER-ASK-02-4 HOOK,0.0,0.0,0.0,0.0
332,BR.CLOTH HANGER-ASK-02-6 HOOK-SS,0.0,0.0,0.0,0.0
333,BR.CLOTH HANGER-ASK-02-8 HOOK-CP,0.0,0.0,0.0,0.0
334,BR.CLOTH HANGER-SSK-HY.-4 HOOK,0.0,0.0,0.0,0.0
335,BR.CLOTH HANGER-SSK-HY-6 HOOK,0.0,0.0,0.0,0.0
336,BR.-CLOTH HANGER-SSK-HY-8 HOOK,0.0,0.0,0.0,0.0
337,CLOTH HANGAR-INDIVIDUAL-WITH DORI,0.0,0.0,0.0,0.0
338,CLOTH HANGER 8X4,0.0,1.0,-1.0,999999999.9999999
339,DIE CAST-KHUTTI-2 HOOK-GLOSSY,0.0,0.0,0.0,0.0
340,DIE CAST-KHUTTI-3 HOOK-GLOSSY,0.0,0.0,0.0,0.0
341,DIE CAST-KHUTTI-4 HOOK-GLOSSY,0.0,0.0,0.0,0.0
342,DIE CAST-KHUTTI-5 HOOK-GLOSSY,0.0,0.0,0.0,0.0
343,DIE CAST-KHUTTI-6 HOOK-GLOSSY,0.0,0.0,0.0,0.0
344,DIE CAST-KHUTTI-8 HOOK-GLOSSY,0.0,0.0,0.0,0.0
345,EBCO-HANGER DORI BRACKET-HBK-2 REG.SILVER,0.0,0.0,0.0,0.0
346,"EBCO-KEYBOARD TRAY-KBTM45-450MM-WITH MOUSE-18""",0.0,0.0,0.0,0.0
347,FALAK-KEY HANGAR-BIG(BLUE) MOR Pc.-ANT,0.0,0.0,0.0,0.0
348,FALAK-KEY HANGAR-SMALL(BROWN) MOR Pc.-ANT,0.0,0.0,0.0,0.0
349,FALAK-MOR PC.-KEY HANGER-CP,0.0,0.0,0.0,0.0
350,JP-KHUTTI-K-103-CP-4 HOOK,0.0,0.0,0.0,0.0
351,JP-KHUTTI-K-108-CP-4 HOOK,0.0,0.0,0.0,0.0
352,JP-KHUTTI-K-108-CP-5 HOOK,0.0,0.0,0.0,0.0
353,JP-KHUTTI-K-109-CP-4 HOOK,0.0,0.0,0.0,0.0
354,JP-KHUTTI-K-18-CP-4 HOOK,0.0,0.0,0.0,0.0
355,KEY HANGAR-ASSURE-JAGUAR-ANT,0.0,1.0,-1.0,999999999.9999999
356,KEY HANGAR-ASSURE-JAGUAR-ANT(GREEN),0.0,0.0,0.0,0.0
357,KEY HANGAR-BASARI-WITH MOR ANTIC,0.0,0.0,0.0,0.0
358,KEY HANGAR-NIJ-UMBRELLA-WENGI/ORANGE,0.0,1.0,-1.0,999999999.9999999
359,KEY HANGER-FISH,0.0,0.0,0.0,0.0
360,KEY HANGER-MOR-ANT,0.0,0.0,0.0,0.0
361,KEY HANGER-VEENA-ANT.,0.0,0.0,0.0,0.0
362,MILL.-CLOTH HINGER-KHUTTI-T.S.-WENGI-6 HOOK,0.0,0.0,0.0,0.0
363,MILL.-HANGER-KHUTTI-CHAIN-WENGI-6 HOOK,0.0,0.0,0.0,0.0
364,PARSHV-8MM OVAL RING,0.0,2.0,-2.0,1999999999.9999998
365,RAINBOW-CLOTH DRY HANGER,0.0,0.0,0.0,0.0
366,SAZISH-WALL HANGER-IVORY-6 HOOK,0.0,0.0,0.0,0.0
367,SHANTI-HANGER-PATTI KHUTTI-3 HOOK,0.0,0.0,0.0,0.0
368,SHANTI-KHUTTI-BUTTERFLY-4 HOOK,0.0,0.0,0.0,0.0
369,SKYNET-JP-KHUTTI-HANGER-K-103-GL-5 HOOK,0.0,1.0,-1.0,999999999.9999999
370,SKYNET-JP-KHUTTI-HANGER-K-103-GL-6 HOOK,0.0,0.0,0.0,0.0
371,SKYNET-JP-KHUTTI-HANGER-K-108-CP-6 HOOK,0.0,4.0,-4.0,3999999999.9999995
372,SKYNET-JP-KHUTTI-HANGER-K-18-CP-5 HOOK,0.0,2.0,-2.0,1999999999.9999998
373,SKYNET-JP-KHUTTI-HANGER-K-18-CP-6 HOOK,0.0,1.0,-1.0,999999999.9999999
374,SKYNET-KHUTTI-K-109-CP-5 HOOK,0.0,0.0,0.0,0.0
375,SKYNET-KHUTTI-K-109-CP-6 HOOK,0.0,3.0,-3.0,3000000000.0
376,SPL-CLOTH HANGER-PATTI KHUTTI-4 HOOK,0.0,1.0,-1.0,999999999.9999999
377,SPL-CLOTH HANGER-PATTI KHUTTI-5 HOOK,0.0,0.0,0.0,0.0
378,SPL-CLOTH HANGER-PATTI KHUTTI-6 HOOK,0.0,1.0,-1.0,999999999.9999999
379,"AARO-T.CHANNEL-26""",0.0,1.0,-1.0,999999999.9999999
380,"ALICO-T.CHANNEL-10""",0.0,0.0,0.0,0.0
381,"ALICO-T.CHANNEL-12""",0.0,0.0,0.0,0.0
382,"ALICO-T.CHANNEL-14""",0.0,0.0,0.0,0.0
383,"ALICO-T.CHANNEL-16""",0.0,0.0,0.0,0.0
384,"ALICO-T.CHANNEL-18""",0.0,0.0,0.0,0.0
385,"ALICO-T.CHANNEL-20""",0.0,0.0,0.0,0.0
386,"ALICO-T.CHANNEL-22""",0.0,1.0,-1.0,999999999.9999999
387,"ASANJO-ZINC-T.CHANNEL-12""",0.0,2.0,-2.0,1999999999.9999998
388,"ASANJO-ZINC-T.CHANNEL 8""",0.0,0.0,0.0,0.0
389,"AXIS PREMIUM-T-CHANNEL-12""",0.0,0.0,0.0,0.0
390,"AXIS PREMIUM-T-CHANNEL-14""",0.0,0.0,0.0,0.0
391,"AXIS PREMIUM-T-CHANNEL-16""",0.0,0.0,0.0,0.0
392,"AXIS PREMIUM-T-CHANNEL-18""",0.0,0.0,0.0,0.0
393,"AXIS PREMIUM-T-CHANNEL-20""",0.0,0.0,0.0,0.0
394,"AXIS-PREMIUM-T.CHANNEL-22""",0.0,0.0,0.0,0.0
395,"BLANDOX-T.CHANNEL-30""-HY.",0.0,0.0,0.0,0.0
396,"DEFECTIVE-KREST-T.CHANNEL-20""",0.0,0.0,0.0,0.0
397,"DEFECTIVE-KREST-T.CHANNEL-24""",0.0,0.0,0.0,0.0
398,EBCO-T-CHANEELS 36'',0.0,0.0,0.0,0.0
399,"EBCO-T-CHANNEL-10""",0.0,1.0,-1.0,999999999.9999999
400,"EBCO-T.CHANNEL-12""",0.0,1.0,-1.0,999999999.9999999
401,"EBCO-T.CHANNEL-14""",0.0,0.0,0.0,0.0
402,"EBCO-T-CHANNEL-16""",0.0,0.0,0.0,0.0
403,"EBCO-T.CHANNEL-18""",0.0,10.0,-10.0,10000000000.0
404,"EBCO-T.CHANNEL-20""",0.0,0.0,0.0,0.0
405,"EBCO-T.CHANNEL-22""",0.0,0.0,0.0,0.0
406,"EBCO-T-CHANNEL-24""",0.0,0.0,0.0,0.0
407,"EBCO-T-CHANNEL-26""",0.0,0.0,0.0,0.0
408,"EBCO-T-CHANNEL-28""",0.0,0.0,0.0,0.0
409,"EBCO-T.CHANNEL-8""",0.0,0.0,0.0,0.0
410,EBCO - T -  CHANNELS 30'',10.0,0.0,10.0,0.0
411,Ebco T Channels Soft Close  24'',0.0,0.0,0.0,0.0
412,"GODREJ-6905-HEAVY DUTY-650MMT-CHANNEL-26""",0.0,0.0,0.0,0.0
413,"GODREJ- 6908-HEAVY DUTY DRAWER SLIDES 800MM-32""",0.0,0.0,0.0,0.0
414,"GODREJ-6998-HEAVY DUTY DRAWER SLIDES-900MM-36""",30.0,30.0,0.0,0.9999999999666667
415,"GODREJ-7088-DRAWER CHANNEL-SOFTCLOSE-22""-550MM",0.0,34.0,-34.0,33999999999.999996
416,"GODREJ-T.CHANNEL-10""",0.0,0.0,0.0,0.0
417,"GODREJ-T.CHANNEL-28""",0.0,93.0,-93.0,93000000000.0
418,"GODREJ-T CHANNEL-8174-12""",0.0,159.0,-159.0,159000000000.0
419,"GODREJ-T CHANNEL-8175-14""",0.0,129.0,-129.0,128999999999.99998
420,"GODREJ-T CHANNEL-8176-16""",50.0,69.0,-19.0,1.3799999999724002
421,"GODREJ-T CHANNEL-8177-18""",80.0,94.0,-14.0,1.1749999999853125
422,"GODREJ-T CHANNEL-8178-20""",1.0,10.0,-9.0,9.99999999
423,"GODREJ-T CHANNEL-8179-22""",0.0,10.0,-10.0,10000000000.0
424,"GODREJ-T CHANNEL-8180-24""",0.0,0.0,0.0,0.0
425,GODREJ - T  CHANNEL SOFT CLOSE - 14'',40.0,35.0,5.0,0.874999999978125
426,GODREJ - T  CHANNEL SOFT CLOSE - 16'',10.0,7.0,3.0,0.69999999993
427,GODREJ - T  CHANNEL SOFT CLOSE - 18'',0.0,0.0,0.0,0.0
428,"HAFELE-SOFTCLOSE-T.CHANNEL-12""",0.0,0.0,0.0,0.0
429,"HAFELE-SOFTCLOSE-T.CHANNEL-14""",0.0,0.0,0.0,0.0
430,"HAFELE-SOFTCLOSE-T.CHANNEL-16""",0.0,0.0,0.0,0.0
431,"HAFELE-SOFTCLOSE-T.CHANNEL-18""",0.0,0.0,0.0,0.0
432,"HAFELE-SOFTCLOSE-T.CHANNEL-22""",0.0,0.0,0.0,0.0
433,"HAFFLE-T.CHANNEL-28""",0.0,0.0,0.0,0.0
434,"HETTITCH-T-CHANNEL-10""",0.0,0.0,0.0,0.0
435,"HETTITCH-T-CHANNEL-12""",0.0,0.0,0.0,0.0
436,"HETTITCH-T-CHANNEL-14""",0.0,0.0,0.0,0.0
437,"HETTITCH-T-CHANNEL-16""",0.0,0.0,0.0,0.0
438,"HETTITCH-T-CHANNEL-18""",0.0,0.0,0.0,0.0
439,"HETTITCH-T-CHANNEL-22""",0.0,0.0,0.0,0.0
440,"HETTITCH-T-CHANNEL-24""",0.0,0.0,0.0,0.0
441,"HETTITCH-T-CHANNEL-26""",0.0,0.0,0.0,0.0
442,"HETTITCH-T-CHANNEL-28""",0.0,0.0,0.0,0.0
443,"HETTOTCH-T.CHANNEL-20""",0.0,0.0,0.0,0.0
444,"MAXX LIFE-T.CHANNEL-10""",0.0,0.0,0.0,0.0
445,"MAXX LIFE-T.CHANNEL-12""",0.0,0.0,0.0,0.0
446,"MAXXLIFE-T.CHANNEL-14""",0.0,0.0,0.0,0.0
447,"MAXX LIFE-T.CHANNEL-16""",0.0,0.0,0.0,0.0
448,"MAXX LIFE-T.CHANNEL-18""",0.0,0.0,0.0,0.0
449,"MAXX LIFE-T.CHANNEL-20""",0.0,0.0,0.0,0.0
450,"MAXX LIFE-T.CHANNEL-22""",0.0,0.0,0.0,0.0
451,"MAXX LIFE-T.CHANNEL-24""",0.0,0.0,0.0,0.0
452,"MAXX LIFE-T.CHANNEL-26""",0.0,0.0,0.0,0.0
453,"MAXX LIFE-T.CHANNEL-28""",0.0,0.0,0.0,0.0
454,"MULTIQUIP-T.CHANNEL-30""",0.0,0.0,0.0,0.0
455,"PANJO-T.CHANNEL-12""",0.0,2.0,-2.0,1999999999.9999998
456,"PANJO-T.CHANNEL-14""",0.0,0.0,0.0,0.0
457,"PANJO-T.CHANNEL-16""",0.0,0.0,0.0,0.0
458,"PANJO-T.CHANNEL-18""",0.0,0.0,0.0,0.0
459,"SLIDEWELL-T.CHANNEL-10""",0.0,0.0,0.0,0.0
460,"SLIDEWELL-T.CHANNEL-16""",0.0,0.0,0.0,0.0
461,"SLIDEWELL-T.CHANNEL-22""(DEFECTIVE)",0.0,0.0,0.0,0.0
462,"T.CHANNEL-42""",0.0,0.0,0.0,0.0
463,"WIFI-T-CHANNEL-10""",0.0,0.0,0.0,0.0
464,AAIJEE-TABLE BRACKET-24,0.0,0.0,0.0,0.0
465,"BALAJI- DINNING TABLE BRACKET- 36""",0.0,0.0,0.0,0.0
466,"BL-F-Bracket-6""-12mm-Sscp",0.0,0.0,0.0,0.0
467,"EBCO-CONC.-TABLE BRACKET-TBR50(AT)-500MM-20""",0.0,0.0,0.0,0.0
468,"EBCO-CONC.TABLE BRACKET-TBRO (AT) -400MM-16""",0.0,0.0,0.0,0.0
469,EBCO-FUT120 (FOLDING UTILITY TABLE-1200)- 4',1.0,1.0,0.0,0.9999999989999999
470,EBCO-FUT120 (FOLDING UTILITY TABLE-900)- 3'',1.0,1.0,0.0,0.9999999989999999
471,"EBCO-TABLE  BRACKET-24""(600MM)",0.0,0.0,0.0,0.0
472,"EBCO-TABLE BRACKET-400MM-16""-TB40AT",0.0,0.0,0.0,0.0
473,EBCO- TABLE BRACKET-FUT60 (FOLDING TABLE-600)-2',0.0,0.0,0.0,0.0
474,"EBCO-TABLE BRACKET-TB-50 (AT)-500MM-20""",2.0,2.0,0.0,0.9999999995
475,"EBCO-TB 30-(AT)-TABLE BRACKET-(300MM)-12""",0.0,0.0,0.0,0.0
476,EBS-CM1 (ELECTRIC BOX-CEILING MOUNT) 2 POWER+2 CHAR,0.0,0.0,0.0,0.0
477,EBS-FU2 (ELECTRIC BOX-FLIP UP,1.0,1.0,0.0,0.9999999989999999
478,"FOLDING BED SOCKET-1 1/2""-HY",0.0,0.0,0.0,0.0
479,FR2- FOOT REST,2.0,2.0,0.0,0.9999999995
480,LTS-1 (LAPTOP STAND),0.0,0.0,0.0,0.0
481,MILL-F-BRACKET-6X12MM-MATT-SQUARE,0.0,0.0,0.0,0.0
482,MILL-F-BRACKET-8X12MM-MATT,0.0,1.0,-1.0,999999999.9999999
483,MILL-F-BRACKET-(8X8MM)-MATT,0.0,5.0,-5.0,5000000000.0
484,MILL-F-BRAKET-12X12MM-MATT-SQUARE,0.0,0.0,0.0,0.0
485,MILL-F-BRAKET-12X8MM-MATT-SQURE,0.0,0.0,0.0,0.0
486,MILL-STEEL-F-BRACKET-FLAT-6X12MM,0.0,0.0,0.0,0.0
487,MILL-STEEL-F-BRACKET-MAT-4X12MM,0.0,0.0,0.0,0.0
488,NAMYA-U-BRACKET-2X10MM,0.0,0.0,0.0,0.0
489,NAMYA-U BRACKET-2X12MM-BRASS,0.0,0.0,0.0,0.0
490,NAMYA-U-BRACKET-2X6MM-SS,0.0,6.0,-6.0,6000000000.0
491,PRAJVAL-SQUARE BRAKET 2X10MM-SS,0.0,0.0,0.0,0.0
492,SHANTI-D.BRACKET-12MM-FOLDING(2X1),0.0,14.0,-14.0,14000000000.0
493,"SHANTI-F-BRACKET-4""X ADJST",0.0,0.0,0.0,0.0
494,"SHANTI-F-BRACKET-6""X ADJST-MATT",0.0,0.0,0.0,0.0
495,"SHANTI-F-BRACKET-8""XADJST",0.0,0.0,0.0,0.0
496,SLTL 2 -E AT( SMART LIFT ELECTRIC-2) AT,1.0,1.0,0.0,0.9999999989999999
497,STAR-FOLDING BRACKET-2X8MM-SS,0.0,0.0,0.0,0.0
498,STAR-SQ. BRACKET-2X12MM-SS,0.0,0.0,0.0,0.0
499,WSTR-9 IV WORK STATION TRAY (ROUND) IV,0.0,0.0,0.0,0.0
500,ALICO-6 WHEEL-NANO,0.0,0.0,0.0,0.0
501,ALICO-BALL CASTOR-ORANGE-50MM,0.0,0.0,0.0,0.0
502,ALICO-SIX 6 WHEEL CLASSIC BEARING,0.0,0.0,0.0,0.0
503,"EBCO-ZIPCO- P FIXED CASTOR 25MM-1""",0.0,1.0,-1.0,999999999.9999999
504,"EROS-PREMIUM-CASTOR-SWIVEL-2""-ORANGE-LOCK",0.0,1.0,-1.0,999999999.9999999
505,KHUSHI-FIX CASTOR-25MM,0.0,0.0,0.0,0.0
506,"KHUSHI-FIX CASTOR-30MM-1.25""",0.0,0.0,0.0,0.0
507,"KHUSHI-FIX CASTOR-40MM-1.5""",0.0,0.0,0.0,0.0
508,KHUSHI-FIX CASTOR-DURLING-20MM,0.0,0.0,0.0,0.0
509,KHUSHI-PLY CASTOR-IMP BEARING,0.0,0.0,0.0,0.0
510,KHUSHI-REVO. 6WHEEL CASTOR-10GM BODY JAPAN BE,0.0,0.0,0.0,0.0
511,KHUSHI-REVOLING CASTOR-25MM -NYLON,0.0,1.0,-1.0,999999999.9999999
512,LAXMI-6WHEEL CASTOR DERLIN,0.0,0.0,0.0,0.0
513,LAXMI-BALL CASTOR-38MM,0.0,0.0,0.0,0.0
514,LAXMI-FIX CASTOR-DURLING,0.0,0.0,0.0,0.0
515,"LAXMI-REVOLVING CASTOR-WITH LOCK-2""",0.0,0.0,0.0,0.0
516,"NEW-PREMIUM-CASTOR-SWIVEL-1.5""-ORANGE-LOCK",0.0,0.0,0.0,0.0
517,PREMIUM-BALL CASTOR-1.25 SP HEAVY,0.0,0.0,0.0,0.0
518,PREMIUM - BALL CASTOR ORANGE 1.5 SP HEAVY,0.0,1.0,-1.0,999999999.9999999
519,PREMIUM-CASTOR-6 WHEEL-IMP BEARING,0.0,0.0,0.0,0.0
520,PREMIUM CASTOR-IMP-6 WHEEL MINI,0.0,2.0,-2.0,1999999999.9999998
521,PREMIUM-CASTOR-REVOLVING 6 WHEEL,0.0,0.0,0.0,0.0
522,PREMIUM CONCEAL CASTOR GOLI 1/2'',0.0,32.0,-32.0,31999999999.999996
523,PREMIUM-CONCILD CASTOR-DERLIN,0.0,0.0,0.0,0.0
524,"SHANTI-BALL CASTOR-ORANGE-38MM-1.5""",0.0,0.0,0.0,0.0
525,"SHANTI-BALL CASTOR-ORANGE-50MM-2""",0.0,2.0,-2.0,1999999999.9999998
526,SHANTI-CASTOR-4WHEEL-ORANGE,0.0,0.0,0.0,0.0
527,SHANTI CASTOR 4 WHEEL PRIMIUM,0.0,0.0,0.0,0.0
528,SHANTI-CASTOR-4 WHEEL-WHITE,0.0,0.0,0.0,0.0
529,SHANTI-CASTOR-6 WHEEL-ORANGE,0.0,0.0,0.0,0.0
530,SHANTI-CASTOR-6 WHEEL-WHITE-BEARING,0.0,0.0,0.0,0.0
531,SHANTI CASTOR-6 WHEEL WHITE-HY.,0.0,57.0,-57.0,57000000000.0
532,"SHANTI-FIX CASTOR-25MM-1""",0.0,12.0,-12.0,12000000000.0
533,"SHANTI-FIX CASTOR-30MM-1.25""",0.0,4.0,-4.0,3999999999.9999995
534,"SHANTI-NEW STAR PREM.-FIX CASTOR-40MM-1.50""",0.0,0.0,0.0,0.0
535,SHNATI-PREMIUM BALL CASTOR -38MM 1X1/2 NEW STAR BLA,0.0,0.0,0.0,0.0
536,SURAJ-CASTOR-SIXER 6 WHEEL ORANGE (L) - MAYUR,0.0,0.0,0.0,0.0
537,VINAYAK-BALL CASTOR-38MM,0.0,0.0,0.0,0.0
538,VINAYAK-BALL CASTOR-50MM,0.0,0.0,0.0,0.0
539,"ALICO-GAS PUMP-35KG-12""",0.0,-1.0,1.0,-999999999.9999999
540,"BALAJI-GAS PUMP-12""-30KG",0.0,0.0,0.0,0.0
541,BALAJI- GAS PUMP-20KG,0.0,0.0,0.0,0.0
542,"BALAJI-GAS PUMP-35KG-12""",0.0,0.0,0.0,0.0
543,"COLORS-GAS PUMP-9""-15KG",0.0,0.0,0.0,0.0
544,Ebco Gas Pump 100kg,0.0,0.0,0.0,0.0
545,EBCO GAS PUMP 175 KG,5.0,5.0,0.0,0.9999999998
546,EBCO-GAS PUMP-30KG,0.0,0.0,0.0,0.0
547,EBCO-GAS PUMP-75KG,0.0,0.0,0.0,0.0
548,EBCO GAS PUMP HEAVY DUTY 25 KG,0.0,4.0,-4.0,3999999999.9999995
549,EBCO GAS PUMP HEAVY DUTY 30 KG,0.0,0.0,0.0,0.0
550,EBCO-GAS PUMP PLBF-120KG,0.0,3.0,-3.0,3000000000.0
551,EBCO-GAS PUMP-PLBF-150KG,13.0,15.0,-2.0,1.1538461537573965
552,EBCO-GAS PUMP-PLBF-200KG,0.0,2.0,-2.0,1999999999.9999998
553,EBCO-GAS PUMP PLBF-50KG,0.0,0.0,0.0,0.0
554,EBCO-GAS PUMP-PLC-06- 6 KG,0.0,0.0,0.0,0.0
555,"EBCO-GAS PUMP-PLC-10-10KG-9""",0.0,7.0,-7.0,7000000000.0
556,"EBCO-GAS PUMP-PLC-12-12KG-9""",0.0,0.0,0.0,0.0
557,EBCO-GAS PUMP-PLC-15-15KG,0.0,2.0,-2.0,1999999999.9999998
558,"EBCO-GAS PUMP-PLC-20-20KG-9""",5.0,4.0,1.0,0.79999999984
559,"EBCO-GAS PUMP-PLC-25-25KG-9""",0.0,0.0,0.0,0.0
560,EBCO-PLBF 175C-GAS PUMP-175KG,0.0,0.0,0.0,0.0
561,EBCO-PLC 10-SC-PUMP (PRO-LIFT OFT CLOSE),0.0,0.0,0.0,0.0
562,EBCO-PLC-15-SC-PUMP-PRO-LIFT SOFT CLOSE,0.0,0.0,0.0,0.0
563,EBCO PLCHD 35 (AT) GAS PUMP-35 KG,0.0,0.0,0.0,0.0
564,Hettich Gas Spring 150 Kg,0.0,0.0,0.0,0.0
565,HETTICH GAS SPRING PLUS BLACK 5 - 120KG,0.0,0.0,0.0,0.0
566,"KAWASAKI-GAS PUMP-12""-10KG",0.0,0.0,0.0,0.0
567,"KAWASAKI-GAS PUMP-12""-25KG",0.0,0.0,0.0,0.0
568,"KAWASAKI -GAS PUMP-18""-100KG",0.0,0.0,0.0,0.0
569,"KAWASAKI-GAS PUMP-9""-10KG",0.0,0.0,0.0,0.0
570,"KAWASAKI-GAS PUMP-9""-5KG",0.0,0.0,0.0,0.0
571,"ROEASY-GAS PUMP-10 KG-10""",0.0,0.0,0.0,0.0
572,"ROEASY-GAS PUMP-125 KG-(14"")",0.0,0.0,0.0,0.0
573,"ROEASY GAS PUMP 14""X100KG",0.0,0.0,0.0,0.0
574,"ROEASY-GAS PUMP-15 KG-10""",0.0,0.0,0.0,0.0
575,"ROEASY-GAS PUMP-20 KG-10""",0.0,0.0,0.0,0.0
576,"ROEASY-GAS PUMP-25 KG-10""",0.0,0.0,0.0,0.0
577,"ROEASY-GAS PUMP-5 KG-10""",0.0,0.0,0.0,0.0
578,3000-ADVANTIS RIMTRONIC RF,0.0,0.0,0.0,0.0
579,4101-ADVANTIS RIMTRONIC ADVANTIS RIM LOCK,0.0,0.0,0.0,0.0
580,4199 CATUS TOUCH,0.0,0.0,0.0,0.0
581,4200 CATUS TOUCH PLUS,0.0,0.0,0.0,0.0
582,4967-ADVANTIS BIOMETRIC DOOR LOCK,0.0,0.0,0.0,0.0
583,ALICO-SLIDING POPAT LOCK,0.0,0.0,0.0,0.0
584,ALLOUT-D.LOCK-I-20-WAVE KEY,0.0,1.0,-1.0,999999999.9999999
585,ASANJO-D.LOCK-MULTI PURPOSE-22MM,0.0,3.0,-3.0,3000000000.0
586,ASANJO-D.LOCK-MULTI PURPOSE-32MM,0.0,0.0,0.0,0.0
587,BLANDOX-HANDLE-MORTISE LOCK BODY+CYLINDER-BMLB-05,0.0,0.0,0.0,0.0
588,BLANDOX-SLIDING-POPAT LOCK-BSL-06,0.0,0.0,0.0,0.0
589,CNR-CLBC-01-LOCK BODY+CYLINDER COMBO SET-SS,0.0,0.0,0.0,0.0
590,CNR-CTBL-803ET-CYL. LOCK-(60MM)-SS304,0.0,0.0,0.0,0.0
591,CNR-STAR KEY DEAD LOCK-CSKL-05,0.0,1.0,-1.0,999999999.9999999
592,CNR-STAR KEY SLIDING LOCK-CSKL-02,0.0,0.0,0.0,0.0
593,CSL1-25-S2 CUPBOARD SLIDING LOCK  (SET OF2 LOCK),4.0,2.0,2.0,0.499999999875
594,CYLINDER-70MM-ANT.,0.0,1.0,-1.0,999999999.9999999
595,Digi Lock (8301),0.0,0.0,0.0,0.0
596,Digital Lock,0.0,0.0,0.0,0.0
597,EBCO-C.LOCK-DIMPLE KEYS-29MM-P-SRC-29D (BS),0.0,0.0,0.0,0.0
598,EBCO-CUP.LOCK-DIMPLE KEYS-23MM-P-SRC-23D,0.0,9.0,-9.0,9000000000.0
599,EBCO-D.LOCK-DIMPLE KEYS-23MM-P-SRD-23D(BS),0.0,5.0,-5.0,5000000000.0
600,EBCO-D.LOCK-DIMPLE KEYS-29MM-P-SRD-29D (BS),0.0,0.0,0.0,0.0
601,EBCO-D.LOCK-E-SQL1-22 M SQ.LOCK 22MM-METAL KEY,0.0,0.0,0.0,0.0
602,EBCO-D.LOCK-SQL1-22 SQ.LOCK 22MM,0.0,0.0,0.0,0.0
603,EBCO-D.LOCK-WAVE KEYS-23MM-P-SRD-23W,0.0,0.0,0.0,0.0
604,EBCO-D.LOCK-WAVE KEYS-29MM-P-SRD-29W,0.0,0.0,0.0,0.0
605,EBCO-MORTISE LOCK-MDLS-EL-SS-NP-KEYLESS-LEFT,0.0,0.0,0.0,0.0
606,EBCO-MORTISE LOCK-MDLS-ER-SS-NP-KEYLESS-LEFT,0.0,0.0,0.0,0.0
607,EBCO-P-DKL1K-AT(PRESTO-DOOR KNOB LOCK-KEYED),0.0,0.0,0.0,0.0
608,EBCO-P-DKL1K-CP(PRESTO-DOOR KNOB LOCK-KEYED),0.0,0.0,0.0,0.0
